STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,01-01-1995,0,"D,,S",72,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,02-01-1995,0,"D,,S",74,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,03-01-1995,0,"D,,S",73,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,04-01-1995,0,"D,,S",75,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,05-01-1995,0.62,",,S",75,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,06-01-1995,0.02,",,S",76,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,07-01-1995,0,",,S",78,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,08-01-1995,0.29,",,S",79,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,09-01-1995,0,",,S",78,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,10-01-1995,0.02,",,S",79,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,11-01-1995,0,",,S",78,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,12-01-1995,0,",,S",79,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,13-01-1995,1.56,",,S",73,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,14-01-1995,0.22,",,S",77,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,15-01-1995,0,",,S",74,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,16-01-1995,1.11,",,S",77,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,17-01-1995,0.1,",,S",71,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,18-01-1995,0.56,",,S",73,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,19-01-1995,0,",,S",76,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,20-01-1995,0.01,",,S",76,"H,,S"
IN020040900,"MADRAS MINAMBAKKAM, IN",13,80.183,16,21-01-1995,0,",,S",74,"H,,S"
