STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-04-1996,,,73,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-04-1996,,,76,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-04-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-04-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-04-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-04-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-04-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-04-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-04-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-04-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-04-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-04-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-04-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-04-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-04-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-04-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-04-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-04-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-04-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-04-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-04-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-04-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-04-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,24-04-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-04-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,26-04-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,27-04-1996,,,89,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-04-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-04-1996,,,94,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-05-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-05-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-05-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-05-1996,,,94,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-05-1996,,,92,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-05-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-05-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-05-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-05-1996,,,94,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-05-1996,,,95,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-05-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-05-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-05-1996,,,92,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-05-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-05-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-05-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-05-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-05-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-05-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-05-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-05-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-05-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,23-05-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,24-05-1996,,,95,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-05-1996,,,91,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,26-05-1996,,,93,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,27-05-1996,,,97,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-05-1996,,,97,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-05-1996,,,96,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,30-05-1996,,,95,"H,,S"
