STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,07-12-2015,,,72,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,08-12-2015,,,73,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,09-12-2015,,,73,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,10-12-2015,,,74,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,11-12-2015,,,76,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,12-12-2015,0,",,S",78,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,13-12-2015,,,76,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,14-12-2015,,,73,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,15-12-2015,,,69,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,16-12-2015,,,66,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,17-12-2015,,,67,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,18-12-2015,0.01,",,S",66,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,19-12-2015,0.01,",,S",65,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,20-12-2015,0,",,S",65,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,21-12-2015,,,67,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,22-12-2015,,,68,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,23-12-2015,,,70,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,24-12-2015,0,",,S",70,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,25-12-2015,,,66,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,26-12-2015,,,64,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,27-12-2015,,,65,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,28-12-2015,,,65,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,29-12-2015,,,65,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,30-12-2015,,,67,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,31-12-2015,,,68,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,01-01-2016,,,68,"H,,S"
IN024140300,"CALCUTTA ALIPORE, IN",22.533,88.333,6,02-01-2016,,,68,"H,,S"
